Lon,Lat,Time
-97.65556103132796,31.051423268308138,2024-04-05T05:22:27Z
-97.65549884036282,31.051598290104746,2024-04-05T05:22:28Z
-97.65543596162655,31.05177305778028,2024-04-05T05:22:29Z
-97.6553732053033,31.051948189623204,2024-04-05T05:22:30Z
-97.65531052046778,31.05212230061788,2024-04-05T05:22:31Z
-97.65524835215115,31.052294880082155,2024-04-05T05:22:32Z
-97.65518605878283,31.052465222485925,2024-04-05T05:22:33Z
-97.65512413845384,31.05263308829737,2024-04-05T05:22:34Z
-97.65506327047571,31.052799172364423,2024-04-05T05:22:35Z
-97.65500444420925,31.052964116898316,2024-04-05T05:22:36Z
-97.65494994286632,31.053127770920177,2024-04-05T05:22:37Z
-97.65489957648367,31.053290713256036,2024-04-05T05:22:38Z
-97.65485330877188,31.053453530426115,2024-04-05T05:22:39Z
-97.65481049608728,31.053613222492302,2024-04-05T05:22:40Z
-97.65477097106512,31.05376967081589,2024-04-05T05:22:41Z
-97.65473552299696,31.053924319394795,2024-04-05T05:22:42Z
-97.65470356022534,31.05407841048104,2024-04-05T05:22:43Z
-97.65467103377031,31.054232974277667,2024-04-05T05:22:44Z
-97.65463108100025,31.05438646791363,2024-04-05T05:22:45Z
-97.65458492428012,31.054539533537067,2024-04-05T05:22:46Z
-97.65454295153758,31.054694557287498,2024-04-05T05:22:47Z
-97.65450577864964,31.05484962398777,2024-04-05T05:22:48Z
-97.6544651323203,31.055005590125145,2024-04-05T05:22:49Z
-97.65442175525895,31.055158976331306,2024-04-05T05:22:50Z
-97.65437538581631,31.05530566098528,2024-04-05T05:22:51Z
-97.65432926745684,31.05544816784458,2024-04-05T05:22:52Z
-97.65428384608614,31.05558570002216,2024-04-05T05:22:53Z
-97.65423953904622,31.055709642657487,2024-04-05T05:22:54Z
-97.6542022034646,31.055814843749552,2024-04-05T05:22:55Z
-97.65417239274093,31.05589600245745,2024-04-05T05:22:56Z
-97.65415137602896,31.055951614009857,2024-04-05T05:22:57Z
-97.65413588505317,31.055987523976523,2024-04-05T05:22:58Z
-97.65412361048921,31.05600969657497,2024-04-05T05:22:59Z
-97.65411156810968,31.056027551992386,2024-04-05T05:23:00Z
-97.65408956569904,31.05605318945401,2024-04-05T05:23:02Z
-97.65406490410368,31.056079641607674,2024-04-05T05:23:03Z
-97.65407007023296,31.056118451170722,2024-04-05T05:23:04Z
-97.65404797568023,31.056144585902192,2024-04-05T05:23:05Z
-97.65387070258983,31.056114508768452,2024-04-05T05:23:06Z
-97.65379572098294,31.05610110265116,2024-04-05T05:23:07Z
-97.65371980686045,31.056078463887523,2024-04-05T05:23:08Z
-97.65363325700893,31.05605084338563,2024-04-05T05:23:09Z
-97.65352975267734,31.056017038601478,2024-04-05T05:23:10Z
-97.65340845811326,31.055979236654245,2024-04-05T05:23:11Z
-97.65327316578666,31.055938043972773,2024-04-05T05:23:12Z
-97.65312270136701,31.055892679410466,2024-04-05T05:23:13Z
-97.65296124264323,31.05584412713864,2024-04-05T05:23:14Z
-97.6528033254258,31.05579668203289,2024-04-05T05:23:15Z
-97.65264342103387,31.055749884170492,2024-04-05T05:23:16Z
-97.65247757984133,31.055700683860103,2024-04-05T05:23:17Z
-97.6523033229447,31.055648623184506,2024-04-05T05:23:18Z
-97.65212321373822,31.055594531934194,2024-04-05T05:23:19Z
-97.65193738084834,31.05553982293183,2024-04-05T05:23:20Z
-97.6517446358728,31.055485485446464,2024-04-05T05:23:21Z
-97.65154901816062,31.05542948062383,2024-04-05T05:23:22Z
-97.65135178752757,31.05537168687666,2024-04-05T05:23:23Z
-97.6511519997099,31.05531239437725,2024-04-05T05:23:24Z
-97.65095084404095,31.0552532634691,2024-04-05T05:23:25Z
-97.6507495940831,31.055193943832943,2024-04-05T05:23:26Z
-97.65054867817679,31.05513441097198,2024-04-05T05:23:27Z
-97.65034745627669,31.05507513103732,2024-04-05T05:23:28Z
-97.65014692493828,31.055016083776334,2024-04-05T05:23:29Z
-97.6499465281027,31.05495719693224,2024-04-05T05:23:30Z
-97.64974642913816,31.054898300134198,2024-04-05T05:23:31Z
-97.64954692138822,31.054840047038063,2024-04-05T05:23:32Z
-97.64934908126699,31.05477672953858,2024-04-05T05:23:33Z
-97.64915574387894,31.054703032576505,2024-04-05T05:23:34Z
-97.64896798835018,31.054620275491065,2024-04-05T05:23:35Z
-97.64878640682072,31.05452936588189,2024-04-05T05:23:36Z
-97.64861020106987,31.054430903475634,2024-04-05T05:23:37Z
-97.64844014334412,31.054324838494498,2024-04-05T05:23:38Z
-97.64827585516105,31.054211166349962,2024-04-05T05:23:39Z
-97.64811938877894,31.054090568290867,2024-04-05T05:23:40Z
-97.64796874505109,31.053963195758623,2024-04-05T05:23:41Z
-97.64782024650245,31.053832220958398,2024-04-05T05:23:42Z
-97.64767050832936,31.053701282860988,2024-04-05T05:23:43Z
-97.64752041078667,31.05357129256944,2024-04-05T05:23:44Z
-97.64737628390031,31.053446016335922,2024-04-05T05:23:45Z
-97.64723725722241,31.053325551418734,2024-04-05T05:23:46Z
-97.6471000684956,31.05320952921923,2024-04-05T05:23:47Z
-97.64696171477752,31.053103759241043,2024-04-05T05:23:48Z
-97.64682196476154,31.053007933100112,2024-04-05T05:23:49Z
-97.64668499361474,31.052921746978814,2024-04-05T05:23:50Z
-97.64655686746806,31.05284386155267,2024-04-05T05:23:51Z
-97.64644055054204,31.05277537537045,2024-04-05T05:23:52Z
-97.64633068251396,31.052716931087005,2024-04-05T05:23:53Z
-97.64628528230054,31.052600992461393,2024-04-05T05:23:54Z
-97.646259855961,31.052499329251038,2024-04-05T05:23:55Z
-97.64626439106459,31.052394818059952,2024-04-05T05:23:56Z
-97.64625398454078,31.05228982707561,2024-04-05T05:23:57Z
-97.64633439362657,31.05218357984344,2024-04-05T05:23:58Z
-97.64638378371272,31.0520734966221,2024-04-05T05:23:59Z
-97.64643880837944,31.051959250408295,2024-04-05T05:24:00Z
-97.64649703513395,31.051841015295654,2024-04-05T05:24:01Z
-97.64655657283366,31.051715842961364,2024-04-05T05:24:02Z
-97.64661835918612,31.051584560357075,2024-04-05T05:24:03Z
-97.64668353017562,31.05144684871885,2024-04-05T05:24:04Z
-97.6467510640773,31.05130399542493,2024-04-05T05:24:05Z
-97.64682298088155,31.051155644594274,2024-04-05T05:24:06Z
-97.64690168574101,31.051006662358855,2024-04-05T05:24:07Z
-97.64697468552647,31.05085387410472,2024-04-05T05:24:08Z
-97.64704902692777,31.0507002557918,2024-04-05T05:24:09Z
-97.64712414201827,31.05054626712452,2024-04-05T05:24:10Z
-97.64719829110453,31.050392642088664,2024-04-05T05:24:11Z
-97.64727168190205,31.050240361288196,2024-04-05T05:24:12Z
-97.64734442967072,31.050088738250544,2024-04-05T05:24:13Z
-97.64742060100737,31.049939058417035,2024-04-05T05:24:14Z
-97.64750412214428,31.049794934506316,2024-04-05T05:24:15Z
-97.64759215136266,31.04965594946118,2024-04-05T05:24:16Z
-97.64768435407649,31.04952005481661,2024-04-05T05:24:17Z
-97.64778006930901,31.049388132701985,2024-04-05T05:24:18Z
-97.64788213509644,31.049264139772497,2024-04-05T05:24:19Z
-97.64799178724182,31.049142719266264,2024-04-05T05:24:20Z
-97.64810783868543,31.0490236826744,2024-04-05T05:24:21Z
-97.64823198402526,31.048907413779528,2024-04-05T05:24:22Z
-97.64836411612347,31.048792471048667,2024-04-05T05:24:23Z
-97.64850329601231,31.048679764362213,2024-04-05T05:24:24Z
-97.64865221362699,31.04856924770371,2024-04-05T05:24:25Z
-97.64880643884787,31.04846149156885,2024-04-05T05:24:26Z
-97.64896531865732,31.048358749624423,2024-04-05T05:24:27Z
-97.64912870441067,31.048259828985923,2024-04-05T05:24:28Z
-97.64929249475857,31.04816110878872,2024-04-05T05:24:29Z
-97.64945398826158,31.04806159475783,2024-04-05T05:24:30Z
-97.64961409907916,31.0479609754597,2024-04-05T05:24:31Z
-97.64977368158021,31.047860493964997,2024-04-05T05:24:32Z
-97.64993448672908,31.04776231669306,2024-04-05T05:24:33Z
-97.65009417079905,31.047663700274878,2024-04-05T05:24:34Z
-97.65025324022719,31.047566282218913,2024-04-05T05:24:35Z
-97.65040993205412,31.047468385632417,2024-04-05T05:24:36Z
-97.6505676965708,31.047369745859925,2024-04-05T05:24:37Z
-97.6507252832792,31.04726990960845,2024-04-05T05:24:38Z
-97.65088394202222,31.047171287993347,2024-04-05T05:24:39Z
-97.6510425139379,31.04707172969191,2024-04-05T05:24:40Z
-97.65120307252525,31.046971303068744,2024-04-05T05:24:41Z
-97.65136048328446,31.046870267201236,2024-04-05T05:24:42Z
-97.65152001766225,31.04676975575241,2024-04-05T05:24:43Z
